rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"13th Floor Lounge Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#53 of 10,125 Restaurants in Bengaluru","$6 -
$11","Thai, Indian, Bar, Asian, Pub, Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Outdoor Seating, Buffet, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations","Special occasions, Large groups, Romantic, Bar scene, Scenic view","Sunday
5:00 pm - 11:00 pm","Address:
 84 Mahatma Gandhi Road, Bengaluru 560001, India","null","","","",""
"Sodabottleopenerwala","https://www.tripadvisor.com/Restaurant_Review-g297628-d8041795-Reviews-Sodabottleopenerwala-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#39 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Kids, Special occasions, Families with children, Large groups","null","","Address:
 Lavelle Road | 25/4, Opposite Harley Davidson Showroom, Bengaluru 560001, India","+91 70222 55299","","Suyog



Bengaluru, India





Level  Contributor 


25 reviews 


9 restaurant reviews





38 helpful votes 







“Mock up of a Parsi restaurant ”



Reviewed March 11, 2017



via mobile




Positives
- good introduction for folks who've never had Parsi meals
- 'some' place in Bangalore now has Parsi good that you can go for, to break the monotony
- clean, tidy and a likeable ambience
- palatable food
Negatives:
- robot server. Takes order. Goes. returns with meal. Disappears.
Do you know how Parsi restaurants like say, Brittannia in...


More  






Helpful? 


Thank Suyog 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d8041795-Reviews-or10-Sodabottleopenerwala-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Alto Vino","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html","","","#5 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Outdoor Seating, Takeout, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Full Bar","Romantic, Large groups, Special occasions, Business meetings, Families with children","Sunday
6:30 pm - 11:00 pm


Monday
6:30 pm - 11:00 pm


Tuesday
6:30 pm - 11:00 pm


Wednesday
6:30 pm - 11:00 pm


Thursday
6:30 pm - 11:00 pm


Friday
6:30 pm - 11:00 pm


Saturday
6:30 pm - 11:00 pm","","Address:
 75 8th Road | Bengaluru Marriott Hotel, Bengaluru 560066, India","+91 80 4943 5000","","Katia M



London





Level  Contributor 


3 reviews 




2 helpful votes 







“Excellent food and service!”



Reviewed 4 weeks ago



via mobile




We just had a lovely lunch with extremely tasty and genuine Italian food. The chef and staff are very friendly and go out of their way to make the experience pleasurable! We will be back!




Helpful? 


Thank Katia M 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-or10-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Persian Terrace","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234007-Reviews-Persian_Terrace-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#44 of 10,125 Restaurants in Bengaluru","$20 -
$100","Middle Eastern, Persian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Validated Parking, Valet Parking, Serves Alcohol","Kids, Special occasions, Families with children, Business meetings, Scenic view, Romantic, Large groups","","Address:
 4th Floor 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","CEasha









1 review 







“Love for food”



Reviewed 6 days ago
NEW 


via mobile




Mouth watering food, romantic ambience, great view beside the swimming pool. This is the perfect location for a candle light dinner. I love the authentic Persian food they are serving. Cheers




Helpful? 


Thank CEasha 





Report","",""
"Tandoor","https://www.tripadvisor.com/Restaurant_Review-g297628-d1191145-Reviews-Tandoor-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#50 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Serves Alcohol, Delivery, Takeout, Valet Parking, Wheelchair Accessible","Large groups, Business meetings, Special occasions, Kids, Families with children","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Monday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:30 pm","","Address:
 Mahatma Gandhi Road | Opposite Keb Office, Bengaluru 560001, India","+91 80 2558 4620","","thakur87



New Delhi, India





Level  Contributor 


48 reviews 


10 restaurant reviews





20 helpful votes 







“great food”



Reviewed January 30, 2017




visited for dinner . the restaurant is very good and location is best. food was great . tandoori items must be tried.




Helpful? 


Thank thakur87 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1191145-Reviews-or10-Tandoor-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","","gauravsngh7



kolkata





Level  Contributor 


6 reviews 


4 restaurant reviews





1 helpful vote 







“Perfect Ambience”



Reviewed February 2, 2017




Awesome and mouth-watering food, great alcohol and above all very friendly and courteous and helpful staff along with an ambience like never before. Even the restrooms are so well-maintained.




Helpful? 


Thank gauravsngh7 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-or10-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Bene","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234005-Reviews-Bene-Bengaluru_Bangalore_District_Karnataka.html","","","#1 of 10,125 Restaurants in Bengaluru","$20 -
$50","Italian, Pizza, European, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Valet Parking, Highchairs Available, Serves Alcohol, Full Bar, Delivery, Validated Parking, Wheelchair Accessible","Special occasions, Large groups, Kids, Families with children, Romantic, Bar scene, Business meetings","","Address:
 Sheraton Bangalore Hotel, 4th Floor, 26/1, Dr. Rajkumar Road, Malleswaram-Rajajinagar, Bengaluru 560055, India","+91 80 4252 0166","","coandel



Bogota, Colombia






1 review 







“Best italian food worldwide”



Reviewed 2 weeks ago



via mobile




Because of work I travel around the word and here I found the most amazing italian food that I have tried. The chef is so caring and do everything to make his guests happy.




Helpful? 


Thank coandel 





Report","",""
"Edo - Japanese Restaurant and Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1942823-Reviews-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Bangalore_District_Karnataka.html","","","#8 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner","Outdoor Seating, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Bar scene, Families with children, Special occasions, Kids, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:00 pm


Monday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Tuesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Wednesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Thursday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Friday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Saturday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm","Wednesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm","Address:
 1 Residency Road | ITC Gardenia, Next to Vittal Mallya Hospital, Bengaluru 560025, India","+91 99018 88832","","","",""
"Rajdhani","https://www.tripadvisor.com/Restaurant_Review-g297628-d3427289-Reviews-Rajdhani-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#48 of 10,125 Restaurants in Bengaluru","$10","Indian, Asian, Gluten Free Options, Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Parking Available","Special occasions, Large groups, Kids, Families with children","Friday
7:30 am - 11:00 pm","Address:
 Vittal Mallya Road, Bengaluru 560001, India","+91 80 2266 7345","","","",""
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","","Anoop V








Level  Contributor 


140 reviews 


46 restaurant reviews





30 helpful votes 







“Good Joint”



Reviewed March 7, 2017



via mobile




Nice place to hangout with friends. Weekends will be packed so an early reservation would help. Food and drinks are above average and reasonably priced.








 



 



 


  


Helpful? 


Thank Anoop V 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-or10-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Shri Sagar (C.T.R)","https://www.tripadvisor.com/Restaurant_Review-g297628-d850324-Reviews-Shri_Sagar_C_T_R-Bengaluru_Bangalore_District_Karnataka.html","","","#9 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch","Takeout, Seating, Waitstaff","Dining on a budget, Kids, Families with children, Local cuisine","Sunday
5:00 am - 1:30 pm


Monday
5:00 am - 1:30 pm


Tuesday
5:00 am - 1:30 pm


Wednesday
5:00 am - 1:30 pm


Thursday
5:00 am - 1:30 pm


Friday
5:00 am - 1:30 pm


Saturday
5:00 am - 1:30 pm","","Address:
 152 Margosa Road, Near Malleswaram Club | Margosa Road, Malleshwaram, Bengaluru 560003, India (Formerly Central Tiffin Room)","+91 80 2331 7531","","Pramod R








Level  Contributor 


3 reviews 







“Good ”



Reviewed 1 week ago



via mobile




Awesome doss with butter and crispy vada. Superfast service. Does get extremely crowded during weekend need to wait for 1 hr




Helpful? 


Thank Pramod R 





Report","",""
"Hard Rock Cafe Bengaluru","https://www.tripadvisor.com/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Bangalore_District_Karnataka.html","","","#22 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Television, Serves Alcohol, Full Bar","Large groups, Bar scene, Special occasions","Sunday
12:00 pm - 11:30 pm


Monday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 12:30 am


Saturday
12:00 pm - 12:30 am","","Address:
 No 40 St Marks Road | Near Anil Kumble Circle, Opposite LIC building, Bengaluru 560001, India","null","","Nameesh R








Level  Contributor 


57 reviews 


31 restaurant reviews





7 helpful votes 







“Good hangout place with great music, food & drinks :)”



Reviewed 2 weeks ago




Hard Rock Café is one of the most popular destination in Bangalore and across the world. It has always been known to be a place for chilling out with friends over a drink and have some wonderful American Food. The place is also known for its live music played by some of the upcoming bands. Also it is known for...


More  










 



 



 



 



 



 



 



 




See all photos


  


Helpful? 


Thank Nameesh R 





Report 





Team_HardRockCafe, General Manager at Hard Rock Cafe Bengaluru, responded to this review



Hi,
Thank you for your detailed review and super cool rating! Glad you had a great time and loved our lip-smacking food. We sure do work hard to make our customers have a rocking time and glad that you appreciate it. Complete rock n’ roll attitude of this place and walls toting only the finest memorabilia do rock your senses,...



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Taaza Thindi","https://www.tripadvisor.com/Restaurant_Review-g297628-d7243749-Reviews-Taaza_Thindi-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#35 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner","Takeout","Dining on a budget, Families with children, Kids, Local cuisine","Sunday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Monday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Tuesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Wednesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Thursday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Friday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Saturday
7:00 am - 12:00 pm4:30 pm - 9:30 pm","","Address:
 No. 1004, 26th Main, 4th T Block, Jayanagar | Next to HDFC Bank, Bengaluru 560041, India","+91 76762 08899","","Srinivas P








Level  Contributor 


91 reviews 


36 restaurant reviews





13 helpful votes 







“The best dosa around!”



Reviewed November 20, 2016



via mobile




We had a visit on 20th Nov for breakfast, as usual this place is over crowded! But billing counter is well managed to move. The best about this place is value for money. Three among us had Idli, dosa and coffee... you will get shocked with the bill! In other places you will have to pay 3 times of this...


More  






Helpful? 


Thank Srinivas P 





Report 




Srinivas P has 1 more review of Taaza Thindi 


“Delicious Dosa, Idli and Vada!!”


 

Reviewed October 10, 2016","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d7243749-Reviews-or10-Taaza_Thindi-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Zen","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066254-Reviews-Zen-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#59 of 10,125 Restaurants in Bengaluru","$20 -
$100","Chinese, Japanese, Sushi, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Full Bar, Buffet, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol","Business meetings, Special occasions, Large groups, Romantic, Families with children","","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 3057 1520","93","","",""
"Nagarjuna","https://www.tripadvisor.com/Restaurant_Review-g297628-d1060248-Reviews-Nagarjuna-Bengaluru_Bangalore_District_Karnataka.html","","","#19 of 10,125 Restaurants in Bengaluru","$5 -
$10","Indian, Asian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available","Families with children, Dining on a budget, Kids, Large groups, Local cuisine","Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","Address:
 44/1, Near Mayo Hall, Residency Road | Shanthala Nagar, Bengaluru, India","null","","","",""
"Zen","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066254-Reviews-Zen-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#59 of 10,125 Restaurants in Bengaluru","$20 -
$100","Chinese, Japanese, Sushi, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Full Bar, Buffet, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol","Business meetings, Special occasions, Large groups, Romantic, Families with children","","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 3057 1520","35","","",""
"Ssaffron","https://www.tripadvisor.com/Restaurant_Review-g297628-d10252338-Reviews-Ssaffron-Bengaluru_Bangalore_District_Karnataka.html","","","#29 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Highchairs Available","Romantic, Kids, Special occasions, Families with children, Large groups, Bar scene, Business meetings","null","","Address:
 Palace Road | Number 56-6B, Shangril La Hotel, Level 18, Bengaluru 560052, India","+91 80 4512 6100","","Barb242014



Greater London, United Kingdom





Level  Contributor 


29 reviews 


16 restaurant reviews





11 helpful votes 







“Good food but not great understanding of English”



Reviewed 1 week ago




Our main reason for the visit was having couple of starters to share and few drinks as it was very late. We ordered 2 starters and drinks and asked for nibbles that goes well with a beer, ie. peanuts etc. It turned out that waiter totally misunderstood us and gave us 2 huge dishes extra (apparently our nibbles) which were...


More  






Helpful? 


Thank Barb242014 





Report 





Shangri-La_Bengaluru, General Manager at Ssaffron, responded to this review



Dear Barb242014,
Thank you for dining at Ssaffron and for sharing your feedback with us on TripAdvisor. I am disappointed that we were not able to provide you with an experience that lived up to your expectations. I have conveyed your comments about the miscommunication with regard to your order and your seating with the team who have been briefed...



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d10252338-Reviews-Ssaffron-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Time Traveller","https://www.tripadvisor.com/Restaurant_Review-g297628-d1389538-Reviews-Time_Traveller-Bengaluru_Bangalore_District_Karnataka.html","","","#3 of 10,125 Restaurants in Bengaluru","$5 -
$10","Chinese, Indian, Asian, International, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Free Wifi","Large groups, Kids, Local cuisine, Business meetings, Special occasions, Dining on a budget, Families with children","","Address:
 Sai Vishram, Ground Floor, 144 - C/1, Kirloskar Road, Bommasandra, Electronics City | Near Hebbagodi Govt School, Bengaluru 560099, India","+91 80 4040 0400","5","","",""
"Rim Naam","https://www.tripadvisor.com/Restaurant_Review-g297628-d2225226-Reviews-Rim_Naam-Bengaluru_Bangalore_District_Karnataka.html","","","#25 of 10,125 Restaurants in Bengaluru","$17 -
$23","Asian, Thai, Vegan Options, Vegetarian Friendly, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Families with children, Romantic, Scenic view, Business meetings, Special occasions","Tuesday
12:30 pm - 3:00 pm7:00 pm - 11:00 pm","Address:
 37-39, MG Road | The Oberoi, Bengaluru 560001, India","+91 80 2558 5858","","","",""
"Windmills Craftworks","https://www.tripadvisor.com/Restaurant_Review-g297628-d3667278-Reviews-Windmills_Craftworks-Bengaluru_Bangalore_District_Karnataka.html","","","#14 of 10,125 Restaurants in Bengaluru","$12 -
$23","American, Indian, Bar, Vegetarian Friendly, Vegan Options","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Families with children, Business meetings, Bar scene, Special occasions, Romantic","","Address:
 No 331 7'th B Epip Road | Next To KTPO, Bengaluru 560066, India","+91 88802 33322","","milandas



Bengaluru, India





Level  Contributor 


72 reviews 


20 restaurant reviews





93 helpful votes 







“I didn't find the foodworks well!!”



Reviewed 4 weeks ago




The first time I heard the name of this place, I was not able to understand the reason behind such a name. Though name doesn't really matter, but still!!
It was a team party for lunch, planned on the occasion of our client visit. As they preferred food with US touch, we chose to try out Windmills Craftworks. We made...


More  






Helpful? 


Thank milandas 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d3667278-Reviews-Windmills_Craftworks-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Karavalli","https://www.tripadvisor.com/Restaurant_Review-g297628-d1568903-Reviews-Karavalli-Bengaluru_Bangalore_District_Karnataka.html","","","#7 of 10,125 Restaurants in Bengaluru","$20 -
$40","Indian, Seafood, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Local cuisine, Special occasions, Large groups, Romantic, Families with children, Business meetings, Kids","Tuesday
12:30 pm - 3:00 pm6:30 pm - 11:00 pm","Address:
 66 Residency Road | The Gateway Hotel, Bengaluru 560025, India","null","","","",""
"MCafe, Bengaluru Marriot Hotel, Whitefield, Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d4641668-Reviews-MCafe_Bengaluru_Marriot_Hotel_Whitefield_Bangalore-Bengaluru_Bangalore_District_K.html","","","#6 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 8th Road, Plot # 75, Epip Area | Whitefield, Bengaluru, India","+91 80 4943 5000","","rachit05









1 review 







“Excellent breakfast @ Mcafe! ”



Reviewed 1 week ago
NEW 


via mobile




Mcafe has an excellent spread for breakfast with lots of Indian, Asian and continental options along with live counters. The staff is excellent, courteous and attentive. We were mostly served by Sandeep who was very helpful and looked after us very well.
Will surely recommend this place for breakfast.




Helpful? 


Thank rachit05 





Report","",""
"24x7 in Lalit Ashok","https://www.tripadvisor.com/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#60 of 10,125 Restaurants in Bengaluru","$8 -
$31","Indian, Pizza, International, Vegan Options, Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Serves Alcohol, Buffet, Valet Parking, Wheelchair Accessible, Full Bar","Large groups, Romantic, Kids, Business meetings, Special occasions, Scenic view, Families with children","","Address:
 Kumara Krupa High Grounds | Kumarakrupa Road, Bengaluru 560001, India","+91 80 3052 7777","","Deepak P









1 review 







“Brunch @ Lalit 24/7”



Reviewed 1 week ago




Really good buffet spread with lovely staff around on toe to assist you, enjoyed the pool withvlovely cocktail 😊😊😊




Helpful? 


Thank Deepak P 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Big Pitcher","https://www.tripadvisor.com/Restaurant_Review-g297628-d6582169-Reviews-Big_Pitcher-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#56 of 10,125 Restaurants in Bengaluru","$12 -
$25","Brew Pub, Bar, International, Barbecue, Vegetarian Friendly, Vegan Options","Brunch, Lunch, Dinner, Late Night, Drinks","Takeout, Parking Available, Valet Parking, Television, Highchairs Available, Serves Alcohol, Reservations, Buffet, Seating, Waitstaff, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Validated Parking","Large groups, Bar scene, Special occasions","","Address:
 4121/P L R Arcade Old Airport Road, Bengaluru 560008, India","+91 80 4553 0049","","tan32016



Bengaluru, India





Level  Contributor 


329 reviews 


56 restaurant reviews





29 helpful votes 







“Happy hours!”



Reviewed 3 days ago
NEW 



Big Pitcher is a good pitcher - cool, big, inexpensive place at a very convenient location to hang out with friends in the evening over a brewed drink, quite a few options to nibble along as well. Recommended for happy hours.




Helpful? 


Thank tan32016 





Report","",""
